Parameters: 754571 Seed: 1234
Epoch		Loss(Tr)	mIOU (val)	lr
210		0.1469				0.0003440
211		0.1433				0.0003405
212		0.1572				0.0003370
213		0.1508				0.0003335
214		0.1484				0.0003300
215		0.1462				0.0003265
216		0.1409				0.0003230
217		0.1547				0.0003195
218		0.1511				0.0003160
219		0.1453				0.0003125
220		0.1414				0.0003090
221		0.1406				0.0003055
222		0.1463				0.0003019
223		0.1479				0.0002984
224		0.1498				0.0002949
225		0.1459				0.0002913
226		0.1376				0.0002878
227		0.1379				0.0002842
228		0.1375				0.0002807
229		0.1348				0.0002771
230		0.1340				0.0002736
231		0.1366				0.0002700
232		0.1358				0.0002664
233		0.1328				0.0002628
234		0.1401				0.0002592
235		0.1510				0.0002557
236		0.1374				0.0002521
237		0.1362				0.0002485
238		0.1357				0.0002448
239		0.1325				0.0002412
240		0.1330				0.0002376
241		0.1346				0.0002340
242		0.1352				0.0002304
243		0.1334				0.0002267
244		0.1313				0.0002231
245		0.1312				0.0002194
246		0.1367				0.0002158
247		0.1443				0.0002121
248		0.1418				0.0002084
249		0.1354				0.0002047
250		0.1331		0.6417		0.0002010
251		0.1327				0.0001974
252		0.1327				0.0001937
253		0.1332				0.0001899
254		0.1305				0.0001862
255		0.1303				0.0001825
256		0.1299				0.0001788
257		0.1287				0.0001750
258		0.1275				0.0001713
259		0.1319				0.0001675
260		0.1295				0.0001637
261		0.1320				0.0001599
262		0.1305				0.0001562
263		0.1309				0.0001524
264		0.1276				0.0001485
265		0.1321				0.0001447
266		0.1255				0.0001409
267		0.1267				0.0001370
268		0.1282				0.0001332
269		0.1270				0.0001293
270		0.1232				0.0001254
271		0.1254				0.0001215
272		0.1231				0.0001176
273		0.1284				0.0001137
274		0.1224				0.0001097
275		0.1230				0.0001058
276		0.1259				0.0001018
277		0.1241				0.0000978
278		0.1255				0.0000938
279		0.1228				0.0000898
280		0.1266				0.0000857
281		0.1234				0.0000817
282		0.1244				0.0000776
283		0.1262				0.0000735
284		0.1205				0.0000693
285		0.1189				0.0000652
286		0.1215				0.0000610
287		0.1197				0.0000567
288		0.1211				0.0000525
289		0.1188				0.0000482
290		0.1185				0.0000438
291		0.1181				0.0000394
292		0.1176				0.0000350
293		0.1193				0.0000304
294		0.1168				0.0000258
295		0.1178				0.0000212
296		0.1162				0.0000164
297		0.1184				0.0000114
298		0.1175				0.0000061
299		0.1183		0.6541		0.0000002
