=====> input size:(360, 480)
Namespace(model='DABNet', dataset='camvid', train_type='trainval', max_epochs=300, input_size='360,480', random_mirror=True, random_scale=True, num_workers=4, lr=0.001, batch_size=8, savedir='./checkpoint/', resume='', classes=11, logFile='log.txt', cuda=True, gpus='0')
=====> use gpu id: '0'
=====> set Global Seed:  1234
=====> building network
=====> computing network parameters and FLOPs
the number of parameters: 754571 ==> 0.75 M
data_dir ./content/camvid |dataset_list camvid_trainval_list.txt
find file:  ./dataset/inform/camvid_inform.pkl
length of train set:  468
length of Validation set:  233
=====> Dataset statistics
data['classWeights']:  [4.4286523 3.443227  9.627174  2.9082294 6.9883366 5.2119217 9.490196
 9.150478  7.1654587 9.888601  7.5455384]
mean and std:  [105.65775  103.329834  99.625404] [71.11642  71.676155 67.87634 ]
single GPU for training
=====> beginning training
=====> the number of iterations per epoch:  58
/usr/local/lib/python3.9/dist-packages/torch/optim/lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
=====> epoch[1/300] iter: (54/58) 	cur_lr: 0.000404 loss: 0.955 time:0.41
=====> epoch[1/300] iter: (55/58) 	cur_lr: 0.000405 loss: 0.927 time:0.41
=====> epoch[1/300] iter: (56/58) 	cur_lr: 0.000407 loss: 1.163 time:0.41
=====> epoch[1/300] iter: (57/58) 	cur_lr: 0.000408 loss: 0.992 time:0.42
=====> epoch[1/300] iter: (58/58) 	cur_lr: 0.000409 loss: 0.801 time:0.42
Remaining training time = 2 hour 21 minutes 8 seconds
[1/233]  time: 0.40
[2/233]  time: 0.01
[3/233]  time: 0.01
[4/233]  time: 0.01
[5/233]  time: 0.01
[6/233]  time: 0.01
[7/233]  time: 0.01
[8/233]  time: 0.01
[9/233]  time: 0.01
[10/233]  time: 0.03
[11/233]  time: 0.01
[12/233]  time: 0.01
[13/233]  time: 0.01
[14/233]  time: 0.01
[15/233]  time: 0.01
[16/233]  time: 0.01
[17/233]  time: 0.03
[18/233]  time: 0.01
[19/233]  time: 0.01
[20/233]  time: 0.01
[21/233]  time: 0.03
[22/233]  time: 0.01
[23/233]  time: 0.01
[24/233]  time: 0.01
[25/233]  time: 0.01
[26/233]  time: 0.01
[27/233]  time: 0.01
[28/233]  time: 0.01
[29/233]  time: 0.01
[30/233]  time: 0.01
[31/233]  time: 0.01
[32/233]  time: 0.01
[33/233]  time: 0.01
[34/233]  time: 0.01
[35/233]  time: 0.01
[36/233]  time: 0.01
[37/233]  time: 0.01
[38/233]  time: 0.01
[39/233]  time: 0.01
[40/233]  time: 0.01
[41/233]  time: 0.01
[42/233]  time: 0.01
[43/233]  time: 0.01
[44/233]  time: 0.01
